f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Actor,Planet
86359562.925,78898683.509,52518992.442,66583712.489,48332987.556,48990125.492,60430814.566,14284058.929,52112520.462,60266825.142,60781113.763,41622816.755,75239308.661,86009555.551,38924128.877,27548913.234,24590573.326,46422631.061,63006482.246,80627584.816,35922166.203,15827488.963,90589914.382,80721636.306,42827119.149,20637929.758,13353517.339,41932848.559,73168177.7,61551668.151,47614151.47,26398700.289,59584435.899,25224595.545,83146720.889,53381188.685,26665018.253,50336594.611,47463976.865,96473560.451,71445168.943,65946322.302,63427345.178,82857728.395,11604803.849,73365484.368,40555371.921,32075852.726,90058261.501,69740467.58,1,1,0
86348238.836,78902215.704,52520485.086,66529623.71,48293070.137,48989843.83,60402115.786,14266786.955,52127424.691,60276262.192,60799044.185,41836094.586,75264251.224,86370183.457,38919237.237,27523328.397,24581110.909,46393423.38,64088360.682,80517323.263,35912992.392,15826299.015,90625958.511,80729795.236,42825644.301,20584098.55,13354146.343,41942620.43,73233179.12,61544539.358,47598430.224,26430235.465,59584284.037,25223720.499,83131407.43,53364420.62,26665119.987,50327784.768,47346083.881,96470036.17,71440744.47,65953358.66,63381944.218,82874468.856,11623332.385,73384947.801,40562560.729,32060869.907,90060073.258,69798282.835,1,1,0
86370907.471,78898557.82,52519788.436,66622482.857,48288114.246,48990820.429,60411044.362,14254834.879,52129451.422,60240876.294,60834280.699,41841171.511,75164457.123,86364235.852,38899554.84,27476951.141,24612301.173,46357795.338,62940323.193,80637169.334,35921129.764,15834701.617,90585923.498,80733980.334,42825643.125,20548438.597,13349292.823,41925649.603,73213556.647,61566848.689,47590904.469,26354852.448,59584369.311,25226190.052,83480926.436,53375566.26,26666483.802,50326125.119,47320949.14,96475116.233,71451312.027,65944969.199,63431701.615,82894358.411,11580907.541,73380238.909,40547977.399,32058489.844,90059450.243,69791567.657,1,1,0
86357622.038,78901069.109,52521156.325,66634165.291,48341866.393,48994506.569,60426656.595,14267416.066,52176934.328,60282892.188,60787671.973,41834578.906,75259614.414,86367380.135,38916010.723,27468245.027,24575986.64,46571423.316,63020341.769,80593864.1,35909305.48,15827309.801,90597601.92,80712821.683,42816645.558,20576318.108,13314236.363,42001771.555,73243206.907,61545069.231,47621691.662,26394914.553,59584612.004,25228437.759,83130654.489,53367655.899,26663526.654,50333818.495,47319744.382,96474778.9,71440230.158,65957107.788,63405845.623,82906192.795,11595710.227,73389749.899,40555625.374,32061025.507,90063486.339,69795021.055,1,1,0
86348276.13,79177177.79,52506143.737,66600608.931,48295674.307,48990409.738,60427479.249,14254099.457,52134507.68,60280238.886,60792007.423,41822341.489,75258140.053,86367292.907,38916687.659,27503519.341,24592488.251,46372223.618,63053518.678,80634859.735,35909215.653,15828772.494,90588725.487,80697354.784,42824995.833,19641420.035,13358200.973,41937209.618,73230062.282,61557044.496,47559947.801,26362473.483,59584844.051,25228828.817,83127862.331,53377835.145,26666627.769,50302745.951,47352118.263,96471683.118,71447963.528,65941798.422,63415604.907,82892452.528,11605149.271,73335132.039,40553812.97,32061045.167,90067821.525,69776754.413,1,1,0
86350570.321,78899186.71,52519130.718,66583277.298,48284316.495,48990152.353,60426263.17,14283042.951,52132456.988,60264172.634,60787623.082,41950763.996,75244107.501,86369876.79,38869653.748,27507961.221,24592640.722,46408904.969,63491625.996,80640761.844,35934540.984,15826510.552,90587029.904,80725579.05,42825349.329,20585738.897,13355748.961,41921365.331,73197659.128,61561431.76,47588515.26,26408847.456,59584746.7,25225112.045,83131731.717,53288935.569,26654570.847,50322480.201,47339925.008,96490087.98,71442883.234,65953054.664,63408184.413,82879779.721,11601426.508,73374277.671,40573905.718,32061234.105,89931831.619,69773722.797,1,1,0
86417976.13,78899670.786,52520155.66,66609431.73,48286593.195,48990240.306,60422270.286,14257943.118,52129624.953,60295995.854,60805923.7,41851989.126,75251695.98,86380573.623,38939033.069,27487170.06,24588514.891,46437365.24,63474607.959,80629356.035,35905691.168,15852454.635,90586393.723,80726845.265,42802266.95,20582398.901,13352572.821,41909908.488,73231346.485,60383392.241,47362429.045,26335586.105,59582996.398,25226897.658,83260491.126,53399871.622,26666634.091,50333640.474,47354710.359,96473321.185,71451620.624,65970870.442,63410963.449,82887108.677,11605447.495,74063065.901,40554810.494,32062770.294,90058988.989,69730420.181,1,1,0
86416650.683,78901867.35,52519422.152,66600964.274,48316474.88,48990438.649,60438728.648,14234264.459,52129681.032,60375741.765,60815426.557,41847759.106,75226021.893,86379780.575,38917007.255,27448648.91,24593667.635,46397568.122,63047440.699,80611981.569,35918758.267,15827027.435,90585688.247,80730306.356,42826437.861,20564545.516,13366426.244,41925357.221,73240373.782,61560024.862,47666293.881,26388457.364,59584611.538,25225990.612,83136002.601,53369993.208,26668058.661,50308713.708,47350420.543,96474463.878,71447607.612,65942648.234,63321980.603,82881303.617,11605387.663,73395887.067,40548330.654,32060901.853,90058497.702,69804381.836,1,1,0
86364527.86,78904613.885,52518884.334,66647649.862,48292228.758,48990422.084,60587311.733,14286434.235,52129937.897,60272816.086,60795235.739,41822979.469,75216991.237,86373636.015,38891471.314,27523360.419,24642705.685,36784065.095,63029320.846,80641730.905,35910257.818,15826342.171,90581628.7,80734136.133,42824056.088,20578217.106,13360440.879,41918165.925,73284309.459,61519061.373,47595665.768,26395141.292,59584459.847,25216138.521,83646576.078,53370847.153,26664530.251,50292658.096,47328134.431,96473190.209,71438500.435,65948461.369,63409909.616,82888121.518,11610295.579,73403192.385,40563790.975,32060312.192,90060461.999,69723760.186,1,1,0
86350282.506,78973201.005,52517439.824,66596841.812,48317814.431,48990477.669,60399660.981,14285840.953,52130434.545,60308558.522,60815373.749,41832771.927,75373016.549,86363041.754,38910628.774,27483449.1,24593908.619,46403855.034,63054532.575,80655382.236,35924144.296,15824091.798,90585350.916,80724651.98,42826712.959,20568149.367,13353379.103,41925395.813,73243490.423,62601297.255,47604324.402,26373162.382,59584747.467,25284572.014,83148547.063,53377560.085,26663636.887,50313580.758,47356058.59,96475980.626,71422691.625,65948826.423,63392379.655,82894486.438,11612315.481,73378500.988,40553269.254,32061490.177,90059023.187,69761703.484,1,1,0
86368178.534,78909180.693,52519003.439,66602058.083,48290917.869,48990124.256,60422413.139,13777030.709,52130583.632,60225885.804,60779102.764,41827120.628,75263569.333,86333794.236,38917050.22,27458934.584,24595239.0,46355118.37,63096117.347,80634398.606,35912837.003,15825060.745,90584430.607,80490050.462,42825203.768,20587731.376,13353347.038,41907662.601,73330885.812,61567154.266,47597333.222,26384052.314,59584518.565,25233004.0,83116898.344,53367372.152,26660078.711,50316569.159,47338196.699,96466311.395,71443127.846,65950688.372,63412981.827,82904391.091,11648887.61,73281792.046,40553072.541,32060736.57,90059410.693,69800208.858,1,1,0
86362449.007,78894968.047,52518171.296,66607524.746,48296932.403,48996140.9,60377855.121,14295781.761,52131716.208,60291212.065,60783678.106,41864914.202,75236307.38,86367516.292,38911603.631,27547501.183,24601912.277,46391715.561,63138064.238,80660138.712,35908885.968,15826977.936,90592933.34,80726380.84,42825784.171,20580373.092,13354538.619,41924493.121,73226354.366,61562299.608,47595966.234,26413753.264,59584363.74,25225408.862,83451056.103,53336727.963,26664867.696,50340588.908,47376421.59,96472651.098,71445561.51,65939171.311,63409915.315,82895130.194,11631457.398,73392370.782,40548133.976,32061820.381,90058379.374,69813844.911,1,1,0
86252201.246,78899295.202,52518400.218,66622995.742,48297288.165,48990077.619,60403184.946,14294987.055,52128430.359,60262962.239,60790657.658,41847544.041,75223185.012,86366643.093,38872804.485,27510056.649,24592191.395,46438271.069,62940993.107,80613034.032,35899182.219,15810331.603,90586876.562,80770120.012,42826399.874,20580524.94,13356609.562,41929019.421,73222972.419,61551357.582,47596438.514,26355225.819,59584121.352,23113718.689,83116941.695,53385856.663,26667515.583,50357040.666,47330240.438,96471862.091,71434827.157,65922632.819,63407425.128,82894844.708,11600527.471,73385731.973,40501862.725,32062821.896,90058586.269,69717416.324,1,1,0
86356824.344,78904520.829,52519164.165,66595070.659,48299132.62,48990688.59,60403254.359,14276877.679,52130074.925,60268292.067,60795269.466,41827373.488,75196097.188,86367339.246,38822207.673,27533161.173,24589361.461,46341988.473,62548358.672,80623839.021,35905584.911,15823508.215,90587613.631,80728109.127,42826626.608,20573393.328,13358839.681,41933596.115,73263020.277,61558279.01,47590704.149,26452038.483,59584161.097,25245981.762,83121782.908,53362264.685,26664674.084,50394674.617,47928270.278,96469659.272,71447613.141,65946212.519,63395902.2,82893251.346,11608635.302,73379734.483,40562875.565,32061543.371,90058690.146,69781842.043,1,1,0
86354043.272,78897594.437,52518668.034,66587966.98,48293655.819,48992883.279,60420380.935,14255350.142,52128578.544,60270041.296,60784056.096,41714277.332,75221150.375,86372530.638,38908140.858,27468801.431,24602369.505,46461362.294,63010113.948,80653214.513,35924704.175,15824772.159,90584729.169,80731031.868,42789147.226,20565693.243,13356103.424,41927839.712,73236388.505,61554709.363,47601418.678,26481735.298,59584843.268,25223293.225,83830402.595,53370406.293,26668936.948,50328107.121,47321982.654,96473063.286,71444905.861,65940719.28,63410133.22,82883991.431,11498530.02,73390415.647,40556068.798,32060696.406,90059577.893,69776197.725,1,1,0
86349747.157,78909511.464,52519041.359,66755957.682,48315944.07,48990288.612,60412912.968,14244396.221,52126678.416,60275614.437,60800028.455,41856623.074,75248389.529,86376361.791,38920056.241,27499465.676,24586605.158,46404459.037,63726887.64,80795692.362,35917319.548,15824091.536,90577908.094,80734594.113,42825465.237,20581445.833,13352216.382,41925869.353,73226282.8,61569046.938,47604202.071,26392340.177,59585405.549,25233666.157,83136962.304,53377121.949,26665712.148,50307010.098,47307303.039,96470591.153,71446481.233,66000894.948,63367883.391,82893665.944,11600206.699,73380594.973,40552577.675,32062892.58,90059008.224,69877511.214,1,1,0
86350156.711,78925926.48,52520018.574,66602884.408,48289283.117,48990345.899,60405743.775,14242126.86,52131732.685,60300020.347,60797180.317,41836299.873,75234068.786,86371868.608,38899705.674,27534571.804,24612243.869,46449234.489,63011969.754,80646524.6,35906892.447,15826819.599,90599268.716,80749440.619,42825903.027,20572313.288,13354291.84,41921422.163,73201081.165,61553269.304,47599618.815,26399595.319,59585008.012,25225160.422,85471771.645,53357529.861,26664831.51,50349961.221,47346786.151,96472859.434,71445988.172,65945537.518,63405493.903,82891406.501,11599647.248,73370301.155,40552713.199,32064829.286,90054487.718,69776484.387,1,1,0
86409814.744,78903250.674,52519423.34,66620360.917,48255820.645,48990336.406,60419538.317,14169582.895,52129113.644,60287139.758,60784013.361,41837780.309,75204583.168,86383206.893,38916293.788,27519782.29,24582101.642,46401720.299,63006375.76,80633781.993,35913914.145,15822589.557,90583681.209,80731626.284,42826126.487,20559348.892,13353674.943,41924709.314,73237860.149,61547322.993,47606172.705,26358528.687,59584378.197,25224410.015,83208495.867,53384513.091,26664515.249,50320807.639,47350535.605,96472890.482,71441252.134,65926982.092,63380757.31,83027742.496,11595656.479,73393463.26,40556459.927,32055504.304,90061881.421,69779036.671,1,1,0
86354362.926,78892619.319,52495979.496,66610074.313,48283242.749,48990385.37,60377062.183,14305201.106,52122674.868,60252681.481,60795179.799,41832103.096,74584433.608,86363142.127,38598809.393,27509628.458,24595173.235,46405267.308,63014259.905,80631418.227,35911234.177,15827517.515,90585467.497,80725422.998,42833067.852,20605688.226,13371580.727,41920927.485,73243068.195,61562580.227,47593547.663,26383192.963,59584669.654,25244551.473,83130590.827,53308203.311,26637365.629,50297105.154,47334957.851,96473110.929,71449197.741,65942153.282,63410435.885,82876138.571,11546996.194,73428839.893,40620268.445,32061229.344,90059771.001,69764279.948,1,1,0
86363572.815,78898326.292,52519033.725,66583476.931,48318860.155,48990242.641,60412782.596,14275209.246,52129764.521,60276873.219,60768210.807,41792871.982,75248737.648,86374555.623,38904288.851,27521223.67,24597824.774,46385118.77,63165477.112,80639713.482,35908699.2,15823102.642,90587961.064,80735198.441,42824502.646,20585110.384,13354018.586,41928182.696,73239552.116,61559908.287,47595062.548,26387288.607,59583676.722,25229082.246,83108934.747,53390613.515,26658985.36,50332089.294,47345521.703,96473201.373,71448513.759,65920151.274,63410345.524,82889077.509,11606782.976,73389044.538,40549750.876,32061304.885,90059492.199,69831258.803,1,1,0
86371033.573,78909098.74,52518731.779,66588905.228,48299812.122,48989462.348,60444246.923,14273674.751,52130937.772,60283200.245,60779380.173,42010839.493,75236806.574,86369855.63,38832609.958,27488546.507,24590314.083,46447606.386,63015039.114,80633463.409,35912435.849,15825076.223,90583470.503,80729201.952,42825284.57,20580140.813,13353684.689,41922116.701,73231975.828,61555136.478,47609713.138,26396166.31,59579289.7,25225649.63,83089845.315,53381960.446,26666192.483,50332549.409,47318564.929,96472961.98,71435096.38,65949171.63,63285289.09,82880570.088,11613140.632,73382241.244,40552942.98,32059589.475,90058796.896,69540183.238,1,1,0
86351393.892,78894674.563,52520088.806,66248215.002,48316479.08,48990564.386,60420262.492,14280910.768,52133835.392,60297076.341,60795338.1,41823390.578,75236741.214,86372187.184,39045935.739,27573058.367,24613053.876,46405818.216,63043959.176,80646326.089,35930626.124,15827216.621,90588850.284,80723881.815,42826930.412,20578222.34,13355566.785,41927430.81,73231152.975,61557985.92,47596907.877,26386565.655,59584523.394,25226992.49,83139342.629,53391881.008,26666764.057,50323310.564,47236413.312,96473103.389,71449090.692,65942968.328,63211922.357,82888036.793,11599497.771,73374653.793,40550306.519,32064692.314,90059344.925,69771575.231,1,1,0
86356042.455,78886324.268,52518478.455,66611092.789,48298066.685,48991929.871,60392918.194,14265428.512,52124275.638,60343402.381,60787077.552,41812095.395,75243490.213,86368314.402,38910160.219,27518312.781,24594089.524,46258017.669,63043490.706,80634728.914,35932943.464,15824786.627,90590547.016,80725713.878,42825152.064,20578562.073,13353060.927,41913449.15,74138880.163,61558602.482,47586898.18,26403946.012,59585839.798,25225954.019,83143535.034,53526860.621,26662081.315,50299396.905,47340705.844,96472500.04,71446577.466,65945479.11,63393505.2,82887566.807,11574280.523,73382228.766,40588243.157,32059750.404,90056918.051,69755508.508,1,1,0
86395612.367,78908818.601,52519070.462,66595971.199,48305212.272,48991726.482,60431841.232,14259365.223,52126393.324,60259942.596,60797858.889,41843140.799,75234942.857,86370702.338,38922862.661,27508261.164,24582751.77,46416009.399,62999774.865,80670654.556,35898699.549,15828220.376,90585735.922,80736417.107,42825405.33,20590948.488,13353949.841,41932105.247,73228734.348,61558536.268,47595397.953,26387380.731,59584617.606,25226591.67,83135121.54,53358055.306,26668629.041,50324136.632,47336462.899,96473427.215,71469211.798,66011077.127,63397103.827,82893916.989,11607681.937,73377552.521,40557969.582,32069876.348,90058577.067,69496136.224,1,1,0
86354046.464,78899393.637,52520711.587,66599448.758,48281701.923,48990330.264,60464805.697,14265966.011,52125475.367,60269382.137,60900552.401,41843025.485,75228814.207,86361615.167,38903287.326,27496940.147,24584501.484,46636215.377,63054459.676,80629892.017,35905708.653,15822794.318,90580691.997,80727231.327,42826489.459,20551240.901,13338699.029,41924520.3,73234227.433,61553775.684,47587817.906,26386307.928,59585908.902,25234506.791,83016769.188,53355804.739,26668351.664,50278076.367,41135902.232,96472713.53,71446439.123,65947499.007,63412765.767,82889270.7,11609480.999,73365417.826,40536575.953,32061114.257,90057907.657,69772407.018,1,1,0
86359893.382,78882878.637,52519245.65,66600862.511,48376493.571,48990394.759,60426830.864,14286200.887,52128652.346,60278070.433,60853809.646,41865568.281,75175591.106,86366983.384,39056941.813,27495831.198,24590715.042,46432364.93,63065887.779,80703600.573,35894786.099,15862840.955,90587438.48,80727324.017,42825832.139,20579783.653,13354135.123,41916926.194,73247487.939,61550095.307,47597688.78,26386186.34,59584729.458,25228490.215,83110616.736,53256575.871,26678082.942,50313989.202,47353201.078,96471786.247,71446209.846,65921650.668,63389516.533,82898881.822,11626333.13,73371300.846,40550919.896,32059684.686,90058036.184,69770334.68,1,1,0
86367095.841,78895151.428,52519729.514,66619219.458,48348215.96,48989184.396,59560743.76,14284562.109,52130487.498,60264246.671,60859083.651,41834452.038,75245102.672,86373578.951,38877468.078,27518449.148,24582801.896,46442842.726,63053511.711,80612286.171,35920506.335,15826091.556,90588492.789,80830729.891,42826709.454,20571553.459,13353461.798,41815373.943,73202242.103,61559746.165,47589753.187,26380041.832,59585029.596,25227324.5,83148341.648,53381628.215,26666246.632,50308475.4,47352511.51,96473254.272,71447352.678,65945901.702,63418703.325,82885697.823,11615792.644,73384401.053,40554368.55,32059185.467,90059248.229,69768577.708,1,1,0
86330900.474,78904995.234,52519553.912,66521972.747,48297998.412,48988091.421,60419653.063,14278743.724,52257484.976,60261322.42,60840417.625,41896482.123,75240530.047,86366814.233,38925059.35,27170658.09,24584144.125,46423078.745,63034133.191,80645186.989,35913422.955,15817143.347,90585794.231,80735815.912,42819646.328,20589311.205,13355406.816,41925793.325,73258946.875,61545370.129,47610072.508,26321875.338,59583643.345,25227009.12,83130812.507,53369006.999,26672913.831,50344237.099,47352023.596,96492314.251,71476120.963,65947633.133,63373226.557,82885264.833,11609204.223,73379462.874,40562617.985,32055186.183,90054231.91,69788664.428,1,1,0
86364242.828,78940471.236,52519841.312,66598472.678,48290672.018,48990160.427,60377693.648,14228483.956,52128991.125,60278539.495,60668565.976,41854338.097,75235830.113,86361402.531,38913032.371,27422569.46,24596371.472,47013380.365,63021539.068,80638903.726,35898391.863,15829853.881,90578740.882,80729834.903,42828590.792,20582947.566,13355084.823,41927415.666,73217554.163,61567527.54,47622891.996,26491365.452,59584604.449,25179000.946,83152698.159,53420197.575,26668563.082,50294005.099,47350634.659,96472272.783,71431548.974,65942790.141,63401785.053,82888866.222,11624295.733,73371510.809,40556727.203,32013599.439,90054502.372,69769146.595,1,1,0
86352310.936,78906055.002,52519549.848,66604804.86,48302704.436,48989937.49,60413989.281,14271359.239,52127662.599,60240603.547,60796609.623,41836612.644,75255567.266,86378538.111,39120716.565,27502061.047,24580225.714,46500822.921,62967672.392,80639830.962,35922179.299,15824768.901,90586579.751,80696799.101,42822411.874,20575184.945,13349995.746,41926111.338,73215229.357,61563835.43,47593532.192,26399712.859,59582870.21,25230812.0,83158117.76,53407417.683,26669434.632,50422772.88,47340983.211,96472758.914,71445780.864,65948227.003,63450390.282,82878176.508,11607186.456,73376000.385,40512238.875,32064399.326,90057809.319,69757631.296,1,1,0
86334478.591,78901348.798,52522265.356,66597082.316,48308061.82,48990050.224,60417338.428,14294590.03,52122568.655,60243053.219,60788862.361,41843458.401,75253071.909,86367076.855,38897171.401,27604304.606,24593338.773,46396985.467,63011057.246,80637445.922,35899921.459,15826062.029,90591159.081,80752832.213,42826020.758,20574589.205,13356958.746,41995653.163,73243894.113,61545563.068,47591775.558,26391787.774,59584568.457,25226675.368,83140779.271,53381757.906,26668560.135,50322818.202,47338225.195,96475650.013,71436571.613,65941202.794,63276352.725,82879562.166,11532988.126,73341690.168,40552655.1,32060289.231,90058770.451,69775753.985,1,1,0
86369764.63,78825559.416,52517971.011,66601176.241,48291413.918,48990808.251,60413470.973,14281228.338,52132803.813,60277750.194,60789461.43,41761026.861,75189274.647,86372113.963,38904966.209,27525979.453,24596777.537,46392943.663,63070568.94,80625652.788,35906492.485,15826308.783,90586445.882,80711370.651,42826234.467,20577861.668,13352413.929,41930251.713,73221181.293,61541117.044,47592377.734,26397855.549,59584816.842,25228058.774,83095838.216,53387678.934,26662880.643,49897169.048,47271418.368,96472131.181,71443747.423,65978125.741,63399108.983,82889869.606,11604394.841,73382702.094,40549055.433,32059604.829,90068608.386,69795211.384,1,1,0
