f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Actor,CelestialBody
86325760.523,78898133.379,52520247.49,66613032.545,48302458.903,48989858.473,60416543.924,14277184.086,52131251.212,60266119.591,60039518.235,41840780.085,75251561.537,86375281.873,38953459.428,27539484.764,24600795.856,46409262.19,63119806.041,80644805.506,35922417.001,15802007.502,90585685.563,80746504.274,42965075.727,20584606.962,13356754.587,41928306.073,73190427.896,61564468.537,47614706.82,26370328.826,59584883.97,25225582.193,83193767.412,53433031.699,26663034.161,50327730.242,47353780.889,96465053.005,71448062.586,65946059.134,63398109.433,82848795.765,11600144.495,73535434.173,40549309.311,32063599.075,90056837.311,69751671.228,1,1,0
86358105.505,78893205.389,52521921.49,66584377.017,48297006.515,48990563.023,60428745.512,14270161.304,52120200.489,60408030.47,60891813.153,41844843.497,75236057.333,86373883.151,39458039.56,26954749.118,24583002.088,46417976.949,62938692.182,80631687.936,35907572.594,15844247.509,90584359.745,80726381.407,42805211.31,20577192.994,13360360.549,41923401.191,73343510.25,61403161.131,47600932.275,26405699.733,59593996.604,25217710.71,83176286.257,53322557.823,26666792.844,50328270.99,47345775.028,96472923.071,71446878.521,65946388.774,63397439.852,82876492.312,11582421.279,73382923.954,40556607.182,32061223.54,90059536.201,69774800.681,1,1,0
86358734.404,78901337.174,52511554.147,66600378.071,48268865.153,48989690.35,60425916.848,14276856.298,52093454.682,60273358.161,60660588.709,41837637.131,75232335.806,86385688.992,38913351.287,27469449.321,24609011.435,46276542.604,63129418.112,80636429.798,35907253.246,15820602.476,90602429.228,80761295.838,42825835.518,20586649.947,13360936.502,41919655.308,73237836.056,61553758.597,47591970.84,26395323.668,59583594.742,25227463.49,83117381.434,53387102.566,26667449.812,50303425.576,47341513.518,96475498.176,71448932.09,65947352.82,63399967.062,82891643.124,11587638.291,73378038.051,40555958.273,32063232.031,90058376.363,69794830.599,1,1,0
86359671.933,78900787.877,52518604.812,66598995.852,48301042.061,48990383.0,60426362.898,14268876.907,52129112.959,60275572.556,60885768.797,41864430.093,75209871.672,86344023.685,38928831.754,28727012.795,24594635.61,46432462.491,63044864.587,80646291.031,35907636.765,15881169.798,90584198.435,80731760.369,42825513.294,20580759.348,13350641.086,41922734.754,73250316.056,61549068.636,47615614.44,26406389.399,59582448.511,25227317.865,83128466.697,53305484.863,26665264.568,50362636.228,47344371.464,96473689.045,71428484.916,65949181.554,63500205.872,82884272.609,11603391.063,73387307.927,40557777.166,32062186.79,90059044.78,69791113.178,1,1,0
86355978.992,78898902.816,52518626.999,66606777.485,48306898.264,48989931.2,60411011.093,14249755.618,52132021.332,60275692.408,60830201.24,41859978.077,75225122.641,86370125.556,33649360.955,27478577.73,24595026.905,46404838.952,63033388.834,80563550.858,35909321.917,15826116.4,90587068.256,80731676.5,42828993.619,20580603.14,13351862.58,41925993.936,73217199.908,61575334.501,47592073.712,26394761.452,59583094.164,25227917.022,83140606.761,53333716.424,26670355.215,49689501.303,47306993.352,96474101.797,71441850.376,65944439.591,63398112.005,82879944.571,11614780.916,73385581.051,40549851.685,32061165.25,90055608.11,69773041.883,1,1,0
86351393.892,78894674.563,52520088.806,66248215.002,48316479.08,48990564.386,60420262.492,14280910.768,52133835.392,60297076.341,60795338.1,41823390.578,75236741.214,86372187.184,39045935.739,27573058.367,24613053.876,46405818.216,63043959.176,80646326.089,35930626.124,15827216.621,90588850.284,80723881.815,42826930.412,20578222.34,13355566.785,41927430.81,73231152.975,61557985.92,47596907.877,26386565.655,59584523.394,25226992.49,83139342.629,53391881.008,26666764.057,50323310.564,47236413.312,96473103.389,71449090.692,65942968.328,63211922.357,82888036.793,11599497.771,73374653.793,40550306.519,32064692.314,90059344.925,69771575.231,1,1,0
86357160.007,78918636.839,52518811.481,66592925.857,48311404.554,48990060.959,60420555.857,14271361.206,52129268.51,60275904.044,60787142.284,41844814.05,75237543.676,86362019.353,38896165.416,27323502.432,24565010.034,46541205.836,62993317.809,80644944.076,35908564.348,15825821.41,90584390.286,80727397.913,42825849.582,20567575.82,13352938.393,41926388.029,73226762.482,61548587.02,47719805.666,26391030.643,59583724.187,25238118.191,83131943.611,53398528.08,26664692.596,50281062.184,47355777.097,96471427.127,71443558.876,65946317.648,63403573.204,82890875.259,11603506.508,73380602.725,40551431.992,32056712.013,90061380.473,69769743.141,1,1,0
86352669.021,77835493.892,52520879.885,66619856.64,48300968.499,48989956.712,60417426.606,14256955.222,52131602.312,60275139.05,60790557.233,41894492.015,75226695.313,86369515.062,38905430.849,27501185.72,24597090.094,46419976.547,63001065.357,80638505.919,35910599.343,15826201.611,90585399.899,80724096.24,42824062.01,20587033.937,13350133.297,41925984.013,73272173.836,61553590.753,47561094.682,26368474.917,59585534.185,25228780.63,83174626.554,53352609.687,26667033.266,50354002.953,47337686.879,96470099.126,71448994.713,65942829.142,63394107.785,82886860.557,11603454.885,73377657.413,40553295.099,32059890.089,90058431.252,69786202.952,1,1,0
86519752.76,78895799.203,52519006.259,66457829.777,48285580.274,48989718.515,60415740.831,14260499.865,52133772.688,60267357.824,60794112.043,41868022.675,75242719.804,86598858.906,38967006.474,27494901.351,24641139.216,46439617.445,64264366.337,80658052.405,35912646.798,15829641.143,90587336.472,80731651.351,42826221.783,20563910.507,13356265.663,41914573.063,73257656.698,61580134.109,47584680.707,26591643.904,59584140.442,25248657.396,83163419.236,53371788.816,26665526.721,50283300.588,47345574.524,96480144.842,71468349.727,65959071.282,63424982.7,82871309.993,11599698.183,73384951.796,40551804.645,32060343.233,90058527.53,69760216.346,1,1,0
86348082.049,78900605.201,52518672.608,66589861.408,48299414.501,48990396.53,60405736.868,14294477.732,52128084.877,60252461.354,60797921.671,41840480.7,75237226.972,86374677.289,38881465.302,27516778.156,24593459.808,46441603.538,63019002.585,80640432.008,35916255.878,15824101.195,90585865.2,80712864.666,42823749.356,20579259.736,13360005.254,41929308.84,73235349.96,61559143.383,47583616.825,26435270.584,59583832.902,25228556.976,83210686.265,53372519.228,26666257.73,50297192.442,47343653.872,96473177.962,71445234.362,65937066.65,63406791.817,82874656.609,11605261.307,73376359.063,40548942.992,32058811.766,90026818.285,69758370.102,1,1,0
86370907.471,78898557.82,52519788.436,66622482.857,48288114.246,48990820.429,60411044.362,14254834.879,52129451.422,60240876.294,60834280.699,41841171.511,75164457.123,86364235.852,38899554.84,27476951.141,24612301.173,46357795.338,62940323.193,80637169.334,35921129.764,15834701.617,90585923.498,80733980.334,42825643.125,20548438.597,13349292.823,41925649.603,73213556.647,61566848.689,47590904.469,26354852.448,59584369.311,25226190.052,83480926.436,53375566.26,26666483.802,50326125.119,47320949.14,96475116.233,71451312.027,65944969.199,63431701.615,82894358.411,11580907.541,73380238.909,40547977.399,32058489.844,90059450.243,69791567.657,1,1,0
86348138.884,78907461.758,52519379.423,66595514.177,48280055.403,48990487.976,60430999.992,14275434.328,52128924.134,60270263.523,60812201.701,41807846.859,75201523.812,86366449.312,38883211.642,27524419.828,24582409.067,46392846.67,63034593.581,80634664.417,35915343.051,15827783.37,90585208.841,80734096.127,42823848.746,20567814.471,13351227.69,41931321.954,73228018.303,61551769.756,47600066.477,26392308.698,59584617.517,25232596.956,83126535.561,53385303.593,26666252.893,50275145.411,47370026.315,96473429.263,71468470.205,65927542.027,63384460.01,82884886.808,11607018.095,73344544.508,40548188.322,32063793.809,90058937.121,69754727.581,1,1,0
86356042.455,78886324.268,52518478.455,66611092.789,48298066.685,48991929.871,60392918.194,14265428.512,52124275.638,60343402.381,60787077.552,41812095.395,75243490.213,86368314.402,38910160.219,27518312.781,24594089.524,46258017.669,63043490.706,80634728.914,35932943.464,15824786.627,90590547.016,80725713.878,42825152.064,20578562.073,13353060.927,41913449.15,74138880.163,61558602.482,47586898.18,26403946.012,59585839.798,25225954.019,83143535.034,53526860.621,26662081.315,50299396.905,47340705.844,96472500.04,71446577.466,65945479.11,63393505.2,82887566.807,11574280.523,73382228.766,40588243.157,32059750.404,90056918.051,69755508.508,1,1,0
86369764.63,78825559.416,52517971.011,66601176.241,48291413.918,48990808.251,60413470.973,14281228.338,52132803.813,60277750.194,60789461.43,41761026.861,75189274.647,86372113.963,38904966.209,27525979.453,24596777.537,46392943.663,63070568.94,80625652.788,35906492.485,15826308.783,90586445.882,80711370.651,42826234.467,20577861.668,13352413.929,41930251.713,73221181.293,61541117.044,47592377.734,26397855.549,59584816.842,25228058.774,83095838.216,53387678.934,26662880.643,49897169.048,47271418.368,96472131.181,71443747.423,65978125.741,63399108.983,82889869.606,11604394.841,73382702.094,40549055.433,32059604.829,90068608.386,69795211.384,1,1,0
86349203.772,78895830.27,52518507.638,66606160.905,48298542.605,48990356.12,60416132.694,14405561.666,52126175.917,60276163.131,60845542.766,41842302.925,75234530.383,86370015.586,38920625.091,27414970.7,24600271.309,46395859.355,63031968.122,80635001.476,35923254.14,15819306.561,90586387.429,80731159.284,42825351.323,20566487.626,13354115.721,41930659.567,73243579.626,61551144.044,47593089.634,26387735.207,59584030.62,25228097.939,83130788.029,53363435.761,26662603.442,50339663.38,47323838.254,96472406.606,71444766.476,65942347.612,63398032.428,82901205.877,11595583.707,73386630.581,40551414.514,32059917.689,90057903.006,69819207.503,1,1,0
86370833.698,78817602.492,52521230.059,66596675.458,48241540.54,48990931.038,60425449.096,14275164.21,52123411.933,60275597.978,60797318.742,42334260.323,75211380.404,86372706.977,38926279.751,27535380.562,24573486.474,46413070.765,63015810.548,80625968.185,35901554.481,15823943.125,90587942.081,80700824.398,42825537.465,20605246.213,13353712.473,41953293.059,73241443.06,61560423.367,47594990.77,26390718.364,59584377.435,25226776.341,83119047.406,53337058.554,26670216.055,50313654.337,47357598.831,96473747.9,71442692.139,65942231.688,63413108.595,82888190.362,11605627.315,73448675.16,40552629.263,32060816.843,90059003.859,69771683.769,1,1,0
86449775.014,78974823.133,52527612.772,66587047.109,48294807.937,48989986.651,60394508.966,14278318.127,52125072.969,60273868.891,60797199.912,41792765.815,75522703.949,86364096.603,38900909.175,27470075.656,24593017.734,46430809.321,62732676.651,80634093.746,35909998.377,15823355.722,90584497.208,80750480.998,42826672.547,20576973.94,13351559.42,41925861.017,73256266.075,61565350.626,47603380.621,26430719.964,59584535.882,25235721.669,83145426.889,53376188.832,26665232.157,50314844.258,47344101.216,96473319.694,71441606.096,65945842.235,63398095.554,82877899.482,11600034.407,73389376.209,40584343.839,32061370.924,90058024.614,69804503.701,1,1,0
86347075.329,78894324.433,52510284.353,66597629.809,48296675.835,48990180.397,60385432.055,14278222.301,52121829.476,60275731.942,60782203.209,41848584.359,75259592.473,86387434.377,38894649.514,27445492.323,24585103.802,46510534.415,62945422.928,80630697.59,35905756.92,15829929.261,90586365.758,80729013.347,42824696.762,20582023.765,13355030.39,41929296.347,73239396.396,61558754.95,47606746.956,26402241.641,59585043.182,25226522.46,83126427.148,53411362.282,26668013.14,50346813.798,47368868.698,96471042.204,71402399.184,65953276.677,63408703.52,82887472.582,11600446.386,73404318.342,41140205.56,32059580.418,90058089.783,69764380.77,1,1,0
86361195.485,78902755.897,52519627.295,66560341.891,48296481.795,48989657.458,60409260.395,14279817.128,52129059.592,60265283.165,60783468.492,41822559.86,75216514.905,86342153.047,38951326.93,27559884.116,24596767.995,46433023.703,62927898.538,80654274.398,35910421.722,15825631.208,90585785.055,80707209.18,42828036.211,20582144.97,13565688.21,41928648.111,73220683.196,61539673.925,47599171.563,26335477.411,59583496.473,25225525.963,83113707.52,53368448.5,26666222.314,50324129.55,47347960.923,96472223.989,71443019.838,65938794.598,63397955.831,82888743.461,10367009.15,73380715.119,40553049.445,32041421.501,90059590.61,69738625.667,1,1,0
86360037.226,78903894.551,52519199.504,66586792.662,48324531.26,48990882.085,60395072.657,14261722.714,52127674.435,60268179.955,60831863.635,41861686.357,75252317.685,86355390.145,38908761.333,27416055.455,24583284.805,46422262.647,63021728.233,80634636.378,35918013.104,15826968.139,90598378.481,80733044.348,42820188.531,20581356.892,13352988.319,41941946.87,73230776.78,61547506.692,47606432.67,26401535.36,59584759.843,25247567.702,83119341.646,53358248.735,26669835.538,50317667.416,47342976.215,96474833.761,71451572.176,65922582.044,63393992.382,82890059.939,11600759.978,73381796.216,40553876.167,32059787.525,90058899.394,69779099.713,1,1,0
86359551.417,78898984.276,52518216.477,66792162.338,48302468.577,48990548.239,60412327.836,13889542.649,52124119.25,60259733.921,60624340.919,41845816.494,75258139.306,86384697.895,38907729.606,27519397.99,24597106.977,46388503.895,70412921.22,80634776.285,35909131.951,15821647.872,90594211.811,80712196.557,42826065.963,20593469.609,13343639.392,41928585.947,73258144.733,61564311.733,45907122.057,26398967.679,59584278.663,25222560.979,83117712.814,53353803.226,26665134.068,50314867.132,47398877.469,96471781.392,71447264.126,65948255.191,63394373.603,82879756.447,11613266.899,73373031.268,40565857.116,32061568.905,90054873.952,69761237.865,1,1,0
86373900.894,78899105.695,52518424.849,66599755.446,48305674.091,48990799.077,60416365.996,14255717.876,52128681.381,60269798.357,60799905.371,41840379.601,75235411.532,86368447.814,38928302.035,27560331.302,24609346.423,46409635.832,63002048.413,81068616.012,35911407.275,15827727.4,90586077.684,80726344.863,42825707.316,20585255.234,13353260.35,41923076.49,73221256.27,61591501.455,47580061.281,26389535.591,59583578.27,25221921.584,83111024.472,53397351.841,26665944.999,50299953.731,47345916.366,96472373.188,71445500.766,65949614.438,63385122.013,82884098.158,11612301.66,73397822.468,40551089.691,32060751.233,90058537.873,69771244.537,1,1,0
86340412.454,78906242.714,52520962.014,66619710.007,48324843.321,48990172.809,60404281.897,14252007.262,52128589.45,59680686.08,60780095.797,41833177.656,75234354.819,86365526.844,38917652.183,27485268.564,24593334.24,46409062.417,62997501.135,80579729.348,35909892.721,15825310.442,90632866.817,80763831.817,42828843.595,20579538.23,13344078.215,41934244.893,73245692.006,61598790.619,47582416.528,26473674.464,59583570.543,25233575.905,83115239.561,53356640.141,26666194.766,50294330.466,47339838.245,96472572.399,71454324.557,65962236.609,63339593.755,82888066.644,11603722.414,73415824.068,40554905.848,32060846.94,90057376.051,69726165.701,1,1,0
86350570.321,78899186.71,52519130.718,66583277.298,48284316.495,48990152.353,60426263.17,14283042.951,52132456.988,60264172.634,60787623.082,41950763.996,75244107.501,86369876.79,38869653.748,27507961.221,24592640.722,46408904.969,63491625.996,80640761.844,35934540.984,15826510.552,90587029.904,80725579.05,42825349.329,20585738.897,13355748.961,41921365.331,73197659.128,61561431.76,47588515.26,26408847.456,59584746.7,25225112.045,83131731.717,53288935.569,26654570.847,50322480.201,47339925.008,96490087.98,71442883.234,65953054.664,63408184.413,82879779.721,11601426.508,73374277.671,40573905.718,32061234.105,89931831.619,69773722.797,1,1,0
86356824.344,78904520.829,52519164.165,66595070.659,48299132.62,48990688.59,60403254.359,14276877.679,52130074.925,60268292.067,60795269.466,41827373.488,75196097.188,86367339.246,38822207.673,27533161.173,24589361.461,46341988.473,62548358.672,80623839.021,35905584.911,15823508.215,90587613.631,80728109.127,42826626.608,20573393.328,13358839.681,41933596.115,73263020.277,61558279.01,47590704.149,26452038.483,59584161.097,25245981.762,83121782.908,53362264.685,26664674.084,50394674.617,47928270.278,96469659.272,71447613.141,65946212.519,63395902.2,82893251.346,11608635.302,73379734.483,40562875.565,32061543.371,90058690.146,69781842.043,1,1,0
86359995.407,78906243.013,52510843.461,66606066.755,48299925.769,48990070.472,60478117.413,14268718.668,52132505.887,60271459.839,60788128.655,41882521.141,75270613.284,86396161.439,38835091.644,27521367.334,24588775.51,46425637.485,63053773.417,80632988.565,35908921.061,15822586.004,90508871.582,80727030.239,42825650.848,20576164.746,13416162.945,41601953.788,73232104.912,61559557.524,47594265.453,26383770.265,59584408.746,25226221.096,83118500.066,53395986.914,26666921.154,50330780.231,47343612.54,96472588.794,71440033.864,65949540.153,63397166.724,82884892.905,11601446.477,73379589.859,40556390.392,32065313.78,90078013.678,69696338.724,1,1,0
86334876.53,78901139.387,52519112.21,66728702.857,48293534.971,48989943.45,60412124.819,14296700.325,52126912.778,60292719.418,60804575.055,42037970.482,75236065.679,86369317.707,38906130.474,27545459.707,24573210.643,46398675.685,62957195.466,80744485.886,35909158.144,15829414.012,90586376.963,80723763.6,42823810.855,20514840.313,13356813.411,41923457.898,73243430.631,61551211.861,47588327.407,26402968.567,59584167.001,25229016.876,83134602.776,53379699.448,26664984.959,50324730.02,47341016.957,96472176.49,71445709.628,65947397.838,63373420.084,82931954.217,11601471.113,73374861.635,40561296.38,32062336.19,90059023.12,69839996.557,1,1,0
86367095.841,78895151.428,52519729.514,66619219.458,48348215.96,48989184.396,59560743.76,14284562.109,52130487.498,60264246.671,60859083.651,41834452.038,75245102.672,86373578.951,38877468.078,27518449.148,24582801.896,46442842.726,63053511.711,80612286.171,35920506.335,15826091.556,90588492.789,80830729.891,42826709.454,20571553.459,13353461.798,41815373.943,73202242.103,61559746.165,47589753.187,26380041.832,59585029.596,25227324.5,83148341.648,53381628.215,26666246.632,50308475.4,47352511.51,96473254.272,71447352.678,65945901.702,63418703.325,82885697.823,11615792.644,73384401.053,40554368.55,32059185.467,90059248.229,69768577.708,1,1,0
