f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Actor,Place
990568.414,646831.76,646125.635,16847.79,460911.185,808406.447,70150.215,5647.075,25338.658,715239.611,419998.311,545479.857,878839.116,674869.344,110335.038,20100.669,636126.804,119904.94,161192.867,250080.695,140043.113,419440.572,922552.339,8204.759,8461.559,37800.008,868013.502,100542.928,54657.536,227791.24,2805.459,684019.388,383109.628,968843.875,17533.1,809586.312,292392.103,48635.853,36125.851,2460.253,197762.222,644382.049,2262.584,12836.309,668593.582,864343.565,90520.964,45855.675,138069.662,301529.275,1,0,0
990576.881,646829.895,646493.994,16842.799,460579.27,808779.861,70171.43,5645.802,25326.588,714498.152,421260.642,545479.506,879178.96,674742.863,110275.857,20083.119,636362.847,119786.788,161312.541,251100.369,140118.794,419277.432,922549.506,8219.454,8472.637,37741.976,867943.182,99916.16,55087.113,227847.861,2804.234,684591.516,383022.965,968872.334,17538.284,809639.054,291339.805,47345.168,36127.856,2461.907,197843.235,645541.108,2262.307,12983.042,668432.742,864453.222,90448.061,45990.821,137965.032,301554.57,1,0,0
990549.066,646832.977,645668.639,16865.392,460845.42,808887.359,70275.054,5646.732,25286.227,721519.911,420075.314,545479.118,878945.817,675085.844,110280.829,20103.606,636496.564,119854.646,161324.705,251220.81,140191.425,419396.675,922536.837,8235.729,8462.314,37863.272,868468.24,99627.005,54593.024,227960.993,2803.218,684421.63,383189.279,968824.66,17531.649,809545.004,291184.505,47517.792,36064.089,2463.221,198712.988,645731.048,2261.559,12987.945,668548.634,864363.499,90490.483,45833.743,138077.641,301550.716,1,0,0
990583.395,646843.493,647822.635,16851.074,460792.855,808885.391,69982.862,5648.453,25329.641,714949.167,421081.403,545481.032,878294.593,673696.424,110246.827,20098.736,636334.7,119886.677,161620.81,191294.194,140172.537,419787.824,922505.248,8247.623,8511.275,37807.157,867998.619,100387.93,54578.61,228208.892,2794.938,684335.602,383109.379,968892.141,17532.979,809772.743,291505.694,47266.77,36116.904,2457.596,197661.346,645563.641,2263.799,12988.514,668454.609,864494.027,90531.762,45849.413,138083.089,301550.487,1,0,0
990600.844,646837.813,646944.574,16839.637,460935.654,823764.424,70302.264,5649.625,25314.99,714883.308,419912.507,545479.963,878773.11,674978.046,110282.55,20023.576,636399.564,119862.358,161364.147,251255.562,140171.176,419384.816,922550.834,8239.918,8382.127,37777.005,868012.619,100488.495,54746.972,227912.674,2803.963,684437.056,383054.613,968791.025,17536.856,809827.594,299013.368,47326.742,36142.004,2466.347,198023.174,645033.738,2256.206,12967.124,669798.673,864681.545,90503.595,45878.787,138077.886,301588.954,1,0,0
990604.241,646833.074,646336.226,16843.583,460731.633,809039.46,70252.197,5646.349,25340.919,714507.224,419885.225,545479.629,878961.518,674563.476,110278.424,20116.626,636406.35,119827.822,161452.611,251362.522,140165.819,419388.717,922741.91,8237.927,8460.949,37815.018,867957.207,100577.959,54528.549,227989.259,2805.008,684514.228,383457.55,968814.21,17535.463,809614.291,291113.966,47344.175,36126.295,2465.883,197669.338,645555.094,2268.162,13000.473,668457.898,864399.978,90467.341,45865.164,138087.671,301551.055,1,0,0
990590.379,646825.201,643269.595,16845.242,460876.11,808946.106,70265.097,5647.493,25362.811,714893.981,420353.017,545464.504,879039.064,674921.096,110291.798,20088.48,636249.965,119804.234,161348.211,251255.956,140114.263,419393.061,922549.85,8255.476,8461.566,37870.187,867794.914,100334.429,54831.582,228094.048,2803.111,684521.764,385076.035,968829.217,17533.385,809344.987,291317.587,47358.56,36120.775,2450.237,197923.172,645257.43,2263.107,12982.103,668598.541,864476.576,90453.137,45927.67,138073.675,301552.98,1,0,0
990895.855,646840.966,646974.351,16852.524,460774.503,809038.799,70241.73,5647.417,25335.402,714783.936,419798.232,545479.635,878860.885,674968.146,110289.468,20103.821,636466.809,119827.954,161208.156,251304.677,140126.607,419385.937,922553.393,8233.179,8464.88,37815.084,867955.106,100344.556,54564.451,227995.175,2805.205,684510.889,383127.873,968824.234,17555.877,809610.465,290413.94,47334.058,36120.129,2459.886,197692.793,645514.034,2278.873,12979.207,668346.004,864454.058,90473.229,45840.657,138022.082,301548.317,1,0,0
990751.813,646833.286,647511.607,16853.528,460922.679,809265.694,70214.414,5647.73,25331.994,714490.212,419683.156,545479.467,878857.692,674951.295,110278.496,20101.265,636339.143,119828.201,162123.643,250903.548,139989.426,419371.556,922531.72,8240.315,8464.373,37813.305,867944.688,100855.862,54591.373,228510.2,2803.194,684491.555,383096.65,968790.633,17530.099,809609.914,288912.096,47349.258,36121.146,2458.954,197806.3,645005.949,2262.626,12985.827,669431.509,864370.241,90423.675,45845.762,138092.869,301551.933,1,0,0
990584.591,646833.365,649580.872,16842.311,460853.02,809023.589,70246.287,5638.467,25321.253,714858.08,420427.901,545479.771,878796.836,674943.962,110293.694,20106.223,636455.543,119843.646,161434.894,251217.17,140364.608,419328.306,917400.069,8249.923,8459.619,37831.809,868845.467,99967.437,54669.263,228088.518,2805.296,684482.255,382993.854,968878.652,17535.015,809606.848,291624.581,47814.534,36115.667,2461.855,197773.545,645131.861,2263.565,12971.418,669257.483,864446.424,90503.53,45846.119,138136.048,301569.015,1,0,0
990581.949,646823.902,646129.717,16846.312,461365.949,808837.852,70237.096,5643.856,25334.709,714912.772,419633.707,545522.491,878804.751,674915.48,110283.502,20100.874,636192.155,119753.331,161437.336,251298.947,139969.547,419183.517,922531.732,8237.427,8458.765,37818.004,868010.312,100332.557,55008.521,227863.783,2805.962,684116.091,383172.406,968841.688,17523.747,809583.366,291023.041,47317.795,36118.162,2461.138,199542.828,644499.339,2263.859,13025.024,668303.444,864468.378,90692.525,45949.115,138090.425,301557.838,1,0,0
990617.633,646836.416,646336.767,16958.79,460777.538,809203.834,70249.792,5646.136,25336.456,715044.743,420654.732,545479.603,878869.262,674739.249,110270.781,20110.517,632876.171,119827.226,161150.52,251345.078,140315.732,419297.6,922856.487,8215.641,8462.383,37809.754,867955.757,99967.678,54493.176,228326.525,2803.688,684541.292,383431.104,968687.362,17532.721,809612.529,291731.947,47339.362,36119.237,2467.266,198095.624,645687.275,2263.235,12973.65,668147.261,878274.779,90497.851,45015.239,138088.576,301602.986,1,0,0
990614.761,646837.82,646845.228,16844.8,461224.593,809657.953,70249.221,5650.694,25335.822,714781.666,419933.391,545461.155,879068.698,676309.426,110216.447,20054.646,636420.143,119813.195,161285.415,251295.472,140122.713,419293.414,922557.611,8248.197,8459.895,37876.668,867986.907,100376.063,54568.367,227931.046,2802.226,683272.032,383040.039,959677.386,17548.703,809576.35,291987.262,47313.499,36111.245,2458.491,197735.688,648362.184,2261.546,12979.489,668346.562,859518.196,90485.73,45849.901,138076.355,301551.163,1,0,0
990519.56,646835.347,646976.15,16844.305,460914.076,808678.325,70254.917,5646.818,25332.339,714700.579,419740.127,545479.653,878273.403,674836.894,110279.853,20315.742,636475.839,119835.977,161247.492,251286.386,140258.263,419432.821,922930.595,8219.898,8463.422,37815.007,867943.342,100403.184,54591.905,228000.319,2810.401,684513.78,383269.613,968778.839,17529.361,809594.417,290959.813,47279.418,36118.326,2454.976,197696.981,645607.687,2266.227,12983.021,668335.727,864469.146,90447.528,45858.752,138086.674,301557.582,1,0,0
990590.788,646830.798,647380.592,16849.382,460860.842,808971.215,70345.087,5645.257,25350.835,714713.907,420164.897,545479.219,878813.822,673075.228,110269.491,20116.863,636430.185,119911.378,161504.376,251204.62,140083.902,419402.555,922504.675,8271.256,8460.483,37837.533,867886.012,100613.154,54600.465,227948.732,2802.575,684086.132,383137.423,968774.463,17530.234,809620.297,291467.627,47383.057,36117.783,2468.768,197362.879,645887.743,2278.557,12981.725,668554.286,865147.58,90495.786,45847.868,138066.731,301552.673,1,0,0
990582.421,646830.089,646413.154,16853.315,460948.124,820902.178,70218.867,5646.912,25321.543,714679.538,419698.247,545479.461,878890.971,674411.215,110290.317,20107.026,636656.3,119829.263,161709.903,251310.608,140121.751,419349.986,922564.316,8216.435,8463.808,37790.69,867951.615,100847.863,54468.923,228467.546,2806.679,684660.072,383059.514,968841.414,17533.292,809625.969,290946.685,47310.677,36118.235,2463.936,197931.558,644940.949,2261.621,12996.004,668708.174,864397.761,90493.635,45860.946,138010.374,301543.61,1,0,0
990639.713,646826.664,649047.895,16848.339,460879.511,809203.11,70255.901,5646.023,25419.34,715072.56,420567.193,545479.58,879384.248,675234.651,110193.585,20112.077,636472.636,119860.208,161347.012,251267.988,140117.616,419361.06,922127.506,8238.914,8460.912,37846.374,867911.876,100430.937,54768.07,228014.374,2815.977,684431.386,381127.256,968830.247,17534.986,809727.358,290974.361,47337.19,36119.542,2468.783,197762.391,645555.769,2262.835,12981.867,668474.295,864322.075,90391.122,45859.933,138082.205,301549.055,1,0,0
990713.601,646811.347,646402.94,16846.026,460916.236,808849.812,70276.899,5647.119,25337.323,715460.785,419366.014,545479.311,879395.714,675023.685,110284.523,19503.356,634804.143,119888.256,161502.665,251421.127,140069.086,419472.733,922562.573,8245.558,8463.801,37810.171,867987.844,100689.074,54578.205,228109.75,2804.204,684543.386,383244.634,968869.976,17531.417,809593.813,291097.424,47430.726,36121.0,2380.683,197082.377,645528.049,2268.309,12966.922,668414.268,864476.737,90495.854,45853.892,138080.764,301553.115,1,0,0
990612.349,646838.583,646728.361,16849.231,459673.804,808835.117,70279.811,5647.058,25335.748,713137.728,420088.747,545479.366,878172.479,674908.041,110261.431,20110.519,636471.57,119839.429,161514.638,251308.125,140409.898,419384.443,922517.809,8251.274,8467.835,37801.828,868016.704,100563.97,54509.969,228042.464,2801.239,684514.263,383906.62,968839.121,17532.091,809610.237,291245.141,47291.282,36105.365,2467.565,198055.531,644140.179,2246.361,12975.886,665568.989,864238.468,90551.691,45845.247,138093.371,301554.842,1,0,0
990577.301,646841.782,648915.968,16852.011,460847.658,808989.506,70282.608,5648.342,25328.667,714679.081,422269.724,545479.457,839710.835,674936.352,110322.484,19900.945,636397.391,119756.668,161534.335,251384.716,140059.538,419471.059,922688.253,8250.452,8460.319,37826.28,868169.85,100423.212,54948.311,227907.906,2804.345,685127.541,383075.513,968837.601,17536.063,809643.905,290966.202,47352.917,36138.208,2463.57,197787.84,644814.944,2264.728,13289.048,668381.91,864438.776,90532.751,45881.564,138232.246,301555.644,1,0,0
990602.499,646825.967,647309.142,16851.874,461172.044,809846.951,70257.212,5645.407,25337.203,714705.806,420077.323,545479.312,878845.633,675076.864,110299.019,20086.643,636453.185,119843.583,161332.123,251132.718,140149.41,419251.72,922538.596,8248.315,8434.566,39471.583,867977.826,100448.816,54622.926,227673.062,2803.42,573067.997,383031.441,968885.9,17531.237,809593.03,291206.703,47303.787,36135.898,2462.253,197756.79,645282.918,2267.13,13005.199,668591.393,864448.761,90494.415,45849.511,138402.665,301550.968,1,0,0
991619.33,646799.807,649057.757,16846.432,460749.189,808616.698,70370.617,5640.475,25328.807,714721.696,420134.349,545486.207,878810.582,674932.928,110293.37,20064.678,633603.688,119778.21,161957.657,251109.296,140284.962,419371.353,922535.071,8241.406,8459.862,37823.879,868002.23,100337.083,54561.38,229100.722,2795.028,684731.337,383194.488,968827.522,17532.037,809557.429,291023.011,47418.369,36117.565,2462.116,197699.05,645385.23,2267.773,13031.617,668438.963,864629.437,90375.625,45827.003,138069.389,301549.779,1,0,0
990562.221,646827.9,646856.212,16845.666,461066.132,808789.441,70244.619,5645.027,25342.943,714766.586,420056.093,545478.805,878799.008,674898.93,110291.973,20097.576,636485.757,119653.503,161253.864,251383.455,140204.45,419416.076,922535.258,8238.785,8451.353,37817.47,867957.002,100280.406,54572.182,227998.504,2804.567,684196.818,383069.053,968807.743,17553.005,809640.268,291169.121,47299.1,36121.744,2461.203,197774.67,645512.38,2262.365,12983.135,668977.087,862206.94,90470.745,45848.946,138081.002,301554.784,1,0,0
990536.81,646825.433,646302.34,16900.754,460758.648,808820.308,70241.769,5647.278,25327.201,714737.218,424020.827,545479.284,883261.775,675036.193,110261.652,20101.674,636431.85,119880.001,161214.089,251189.678,140191.268,419373.174,922559.437,8243.815,8464.634,37810.756,868026.582,100446.454,54580.32,227933.002,2801.466,684940.502,383274.329,968826.674,17535.736,809627.657,291509.986,47541.696,36124.465,2408.913,197943.97,645332.545,2262.298,12969.581,668430.523,864409.56,90501.162,45891.132,138086.611,301555.407,1,0,0
990492.048,646824.43,645926.493,16833.605,460464.698,808956.151,70352.725,5645.634,24261.967,714700.39,419529.245,545479.469,879359.257,674659.947,110243.315,19346.821,636320.58,119749.174,161354.494,251218.918,140049.16,419538.769,922522.973,8241.011,8458.435,37812.737,867970.069,99622.946,54563.663,227990.663,2804.134,683587.171,383244.121,968868.09,17536.954,809598.79,290830.994,48194.017,36118.603,2459.026,197759.332,645548.842,2261.963,12885.24,668123.297,864730.841,90500.984,45844.675,138064.995,301559.39,1,0,0
990572.201,646863.497,646961.746,16853.112,460914.137,808580.845,70264.404,5646.085,25330.242,714989.062,419769.32,545479.881,878662.78,674766.989,110283.711,20103.974,636466.598,119826.913,161314.938,251218.985,140213.86,419354.732,922512.847,8247.15,8460.203,37862.454,868027.235,100489.6,54733.382,227943.368,2805.578,684820.161,382836.249,968829.231,17579.06,809629.108,291061.438,47179.564,36098.396,2462.355,197936.023,645600.241,2281.521,12974.577,668534.015,864370.486,90500.983,45898.113,138080.181,301553.783,1,0,0
990469.706,646824.332,646395.965,16844.685,460909.564,809204.022,70249.366,5646.385,25336.821,714616.94,420136.482,545479.405,878854.941,674790.064,110219.244,20135.167,636464.473,119824.425,161328.534,251515.182,140151.287,419279.532,922552.81,8246.001,8440.3,37828.739,867985.561,100301.026,54631.284,227923.374,2804.684,683675.924,383046.576,968805.776,17534.555,809605.279,292161.876,47316.144,36150.838,2462.399,197757.328,645545.746,2263.482,12982.51,668404.941,864333.755,90485.451,45885.266,138065.197,301549.139,1,0,0
990587.299,646840.366,648032.776,16835.639,460846.826,808776.618,70081.705,5647.147,25328.364,714992.201,419759.8,545479.213,880120.191,675002.378,110313.933,19934.988,636242.213,119793.557,161467.18,251243.407,140023.33,419292.633,922524.602,8238.408,8454.251,37817.122,867958.583,100496.384,54754.755,226462.28,2804.803,684537.882,383464.572,968838.89,17525.295,809630.638,291084.902,47498.894,36104.87,2460.692,197697.885,645325.572,2266.005,12983.928,668557.048,864393.686,90526.945,45869.039,138080.91,301542.999,1,0,0
990566.33,646824.125,647223.989,16840.127,460896.292,809948.615,70230.143,5649.533,25365.475,712636.152,419615.404,545479.975,878847.394,674819.437,110266.971,20087.675,636441.764,119778.716,161442.021,251124.348,139669.531,419337.955,922530.094,8241.948,8474.364,37841.292,867979.35,99599.111,54604.19,227924.566,2800.503,684533.779,383187.371,968861.536,17532.979,809625.949,291041.642,47368.677,36121.378,2460.108,197787.012,645184.436,2263.263,13008.57,668403.813,864313.069,90507.899,45765.501,138092.835,301549.417,1,0,0
990390.945,646827.721,647378.869,16847.292,460869.512,808498.366,70245.469,5647.238,25332.448,714974.041,418218.15,545479.798,878818.414,674911.24,110272.443,20107.943,636831.149,119826.323,161261.754,251313.843,139779.987,419221.035,922554.448,8234.777,8468.754,37793.591,867983.858,100360.702,54909.489,228008.14,2802.986,684966.186,390265.352,968827.829,17518.528,810362.279,291415.72,47321.62,36115.678,2462.102,197575.448,645147.903,2263.707,12986.457,668401.195,864483.311,90476.003,45978.06,138112.767,301548.755,1,0,0
989969.567,646846.027,646469.025,16830.112,461108.924,810327.8,70215.089,5646.472,25330.062,714848.033,417327.653,545479.516,874754.95,675195.848,110283.244,20122.191,636424.57,119825.493,165264.759,251292.231,140104.695,419429.5,922760.547,8241.874,8454.18,37827.555,867950.876,100132.493,54585.574,228395.487,2804.702,684571.297,383127.545,968832.669,17529.32,809606.926,290983.483,48864.708,36120.511,2463.433,197755.905,644919.098,2278.149,12899.835,666417.883,864372.498,90514.743,45817.385,138091.065,301582.163,1,0,0
990580.723,646838.395,647221.525,16858.923,460735.523,808989.408,70290.538,5645.585,25323.407,714834.825,420083.504,545479.993,879449.507,674953.212,110296.166,20096.058,636518.195,119723.049,161031.891,251083.275,140132.163,419477.601,922512.132,6438.083,8462.025,37725.407,867993.968,100430.503,54814.162,227851.714,2803.745,684567.466,383308.119,968841.379,17540.416,809635.73,290959.866,47318.913,36115.571,2461.312,197666.527,645544.516,2448.295,12983.798,705482.253,864440.078,90495.522,45840.329,138068.232,301555.396,1,0,0
990519.678,646835.015,645617.809,16855.614,460827.494,809878.378,70240.43,5647.668,25334.451,714891.255,419863.817,545479.528,878142.407,674767.915,110303.186,10413.146,636388.817,119827.291,161390.535,251007.084,140254.676,419378.109,922544.105,8223.355,8463.044,37808.823,867950.78,100319.159,54577.949,228057.907,2804.124,683660.134,383197.997,968827.126,17528.393,809599.501,291233.715,47303.831,36120.9,2459.22,200010.475,645599.308,2262.442,12977.302,669775.139,863965.79,90515.592,45827.608,138089.783,301546.577,1,0,0
990594.392,646853.721,646152.255,16852.23,460933.052,808173.353,70059.099,5648.356,25328.409,714882.476,419531.2,545479.426,878678.604,674970.792,110301.695,20116.468,635999.214,119814.77,161292.921,250872.816,140154.945,419428.344,922376.439,8241.889,8455.754,37800.792,867944.338,99932.008,54983.058,227998.601,2805.457,683601.694,382960.398,968831.154,17536.99,809636.23,290957.649,47334.24,36117.23,2460.445,197751.352,645258.182,2262.13,13003.743,668334.05,864530.536,90432.681,45864.143,138080.659,301552.765,1,0,0
990429.191,646819.271,645731.462,16885.938,460970.597,808775.379,70269.224,5648.067,25328.992,714728.179,419654.177,545482.304,878934.548,674768.013,110284.055,20105.211,636414.423,119204.701,161024.003,251387.724,140096.261,419396.396,922600.598,8259.997,8461.348,37745.248,867973.102,100388.24,54926.396,227951.848,2800.725,685350.668,383168.845,968855.464,17537.184,809617.773,293601.819,47355.8,36117.468,2461.045,198023.116,645345.49,2269.632,13016.053,668263.028,864075.31,90505.872,45898.001,138081.128,301551.776,1,0,0
990572.44,646836.017,646055.489,16852.581,460873.222,809094.875,70261.903,5648.179,25333.363,715195.93,419937.954,545479.251,878831.622,674935.599,110295.402,20102.377,636481.906,119764.898,161320.115,251152.009,140139.732,419137.118,922584.949,8230.134,8453.685,37869.348,867984.002,100912.157,54687.193,228874.28,2803.809,684572.439,385989.464,968840.845,17533.039,809760.604,290010.858,47315.455,36110.664,2461.387,197688.057,644352.749,2263.821,12985.791,668687.351,864442.531,90497.685,45848.841,138066.94,301553.215,1,0,0
990584.143,646835.399,648940.836,16850.156,460881.578,808997.073,69990.454,5647.863,25323.114,714619.305,419992.504,545479.489,878765.977,675257.191,110297.098,20185.204,636427.844,119779.536,159802.577,251146.718,140131.724,419466.0,922624.237,8239.015,8448.064,37816.189,867965.237,100516.001,54757.296,227902.577,2805.508,684315.041,382927.135,968821.457,17526.241,809628.755,291126.874,47197.466,36116.281,2461.352,198543.089,645463.945,2264.315,12987.639,668430.598,864481.962,90518.388,45866.556,138050.929,301550.038,1,0,0
990565.588,646897.207,645043.445,16845.857,459845.249,809130.215,70283.858,5647.633,25332.691,714723.625,419812.519,545480.288,879155.009,675024.529,110296.157,20114.808,636484.721,119830.658,162149.658,251344.604,140125.762,419371.284,922508.787,8244.749,8458.382,40314.475,867973.708,100485.389,54064.256,227915.822,2802.706,684416.383,383208.914,968849.091,17539.534,809676.692,290532.318,47367.597,36123.603,2461.233,197830.842,645722.373,2257.816,13235.025,668617.615,864496.127,90508.955,45888.239,138025.545,301548.044,1,0,0
990565.177,646834.506,647041.353,16843.832,460910.72,808969.676,70249.369,5646.716,25317.636,714863.492,419860.4,545477.119,878798.619,674961.576,110297.463,20000.802,636463.266,119836.129,161399.381,251163.082,140093.233,419413.584,922674.58,8231.703,8468.664,37801.209,868016.697,99492.189,54874.457,227907.3,2782.54,684438.032,383175.085,968864.388,17535.946,809621.199,290945.104,47367.132,36140.354,2461.74,198541.664,644729.699,2265.342,12960.552,668399.866,864545.515,90503.261,45824.219,138065.071,301553.572,1,0,0
990735.376,646831.979,647756.649,16854.981,460784.818,808916.197,70271.864,5647.343,25335.063,714739.757,420031.166,545479.99,878848.372,675286.242,110296.496,20091.33,637326.975,119869.031,160981.843,251307.446,139976.185,419408.117,922805.861,8235.511,8462.471,37865.484,868045.939,100390.054,54563.303,227555.301,2805.482,684738.0,382776.851,968822.375,17534.27,808861.444,290863.936,47285.757,36128.211,2461.498,198682.179,644935.835,2259.203,12990.527,668420.638,864414.747,90494.935,45840.719,138107.729,301563.976,1,0,0
990494.984,646793.266,646222.458,16859.02,460875.56,808757.32,70145.088,5644.516,25351.656,714849.662,419100.532,545479.467,878954.861,674886.167,110295.192,20109.743,636479.149,119819.357,161312.963,245890.476,140301.23,414328.482,922547.948,8247.067,8359.583,37811.181,867970.043,100534.983,54678.399,227884.402,2801.483,684350.405,383155.797,968838.639,17528.216,809614.508,290397.24,47346.671,36033.386,2465.617,197821.757,646017.298,2264.981,12976.792,668335.343,864269.646,90477.456,45894.398,138080.91,301545.353,1,0,0
990544.465,646836.852,645302.849,16895.337,460887.655,809130.486,70218.637,5647.424,25378.13,714497.381,423844.678,545479.34,878810.107,674742.555,110350.622,20104.497,636353.626,119796.468,161291.45,251312.148,140101.57,419400.948,922568.217,8249.722,8464.897,37486.123,867967.679,100352.058,54612.589,227907.223,2797.367,684422.614,383292.539,968842.498,17523.187,809626.411,291241.421,47297.221,36120.616,2461.008,198692.799,645894.878,2261.081,12977.407,668578.522,864345.796,90535.489,45887.257,138084.931,301555.621,1,0,0
990672.007,646837.922,646819.184,16840.354,460705.344,809229.797,70219.317,5647.489,25338.75,714732.099,419785.961,545482.241,878781.399,674688.511,110245.163,20113.867,636454.219,119827.46,160843.541,251260.549,140132.95,419355.431,922552.609,8229.811,8462.197,37810.959,867939.253,100520.086,54554.782,228032.077,2804.748,684780.182,382661.869,968776.584,17532.01,809599.558,291194.651,47316.544,36124.114,2462.422,197528.819,645522.512,2260.372,12735.315,668451.767,864414.4,90493.316,45831.808,138032.739,301552.905,1,0,0
